City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,6.05,96,100,7.63,TF,1702352501
1,kapenguria,1.2511,35.0895,14.23,81,88,1.57,KE,1702352501
2,muisne,0.6,-80.0333,25.22,89,61,2.83,EC,1702352501
3,thompson,55.7435,-97.8558,-14.91,72,40,6.69,CA,1702352208
4,blackmans bay,-43.0167,147.3167,23.62,45,100,3.53,AU,1702352501
5,mount pearl,47.5166,-52.7813,12.69,91,100,11.32,CA,1702352501
6,edinburgh of the seven seas,-37.0676,-12.3116,14.3,93,100,8.8,SH,1702352502
7,puerto natales,-51.7236,-72.4875,5.58,92,88,2.66,CL,1702352502
8,tura,25.5198,90.2201,21.82,63,3,0.77,IN,1702352502
9,grytviken,-54.2811,-36.5092,1.41,76,7,1.76,GS,1702352502
10,noumea,-22.2763,166.4572,27.99,69,77,7.65,NC,1702352228
11,bethel,41.3712,-73.414,2.49,60,75,4.63,US,1702352503
12,omis,43.4447,16.6886,10.96,89,100,4.07,HR,1702352503
13,jamestown,42.097,-79.2353,1.77,86,100,4.12,US,1702352453
14,trujillo,-8.116,-79.03,19.98,83,75,3.09,PE,1702352386
15,alice springs,-23.7,133.8833,27.75,24,1,2.06,AU,1702352503
16,anadyr,64.75,177.4833,-25.56,75,0,4.0,RU,1702352505
17,yorkton,51.2167,-102.4677,-9.09,57,0,9.77,CA,1702352506
18,albany,42.6001,-73.9662,0.88,77,56,3.52,US,1702352506
19,badger,64.8,-147.5333,-6.86,82,100,3.09,US,1702352506
20,lhasa,29.65,91.1,1.14,40,81,2.32,CN,1702352506
21,nemuro,43.3236,145.575,1.7,100,100,3.59,JP,1702352506
22,waitangi,-43.9535,-176.5597,14.9,93,100,2.24,NZ,1702352507
23,stanley,54.868,-1.6985,5.43,96,40,1.54,GB,1702352507
24,puerto ayora,-0.7393,-90.3518,24.05,88,8,2.54,EC,1702352507
25,dalandzadgad,43.5708,104.425,-3.26,42,87,1.4,MN,1702352507
26,isafjordur,66.0755,-23.124,-5.09,80,34,3.22,IS,1702352507
27,port elizabeth,-33.918,25.5701,17.4,88,20,6.17,ZA,1702352400
28,kamaishi,39.2667,141.8833,7.2,87,100,4.91,JP,1702352508
29,hadibu,12.65,54.0333,24.73,68,78,4.96,YE,1702352508
30,lompoc,34.6391,-120.4579,12.4,88,0,6.71,US,1702352448
31,angra dos reis,-23.0067,-44.3181,22.49,92,99,1.61,BR,1702352508
